"","card","reports","age","income","expenditure","owner","selfemp","dependents","majorcards","active","years"
"128",1,0,25,18750,126.0225,0,0,1,0,1,1
"129",1,0,42,30000,238.8558,1,0,3,0,0,10
"130",0,5,31,42000,0,0,0,3,0,19,4
"131",0,0,53,49000,0,1,1,0,0,1,9
"132",1,0,24,21300,37.08333,0,0,1,1,4,1
"133",0,1,25,17000,0,0,0,2,0,11,1
"134",1,0,22,16800,156.5833,0,0,0,0,2,2
"135",0,0,21,26400,0,0,0,3,1,1,1
"136",1,0,18,19680,9.753333,0,0,0,0,2,10
"137",1,0,22,33000,108.3967,0,0,0,1,8,0
"138",1,0,21,15896,271.5533,0,0,0,1,16,15
"139",1,0,42,36000,53.30167,0,1,0,0,14,3
"140",1,0,36,30000,282.5633,0,0,2,1,6,1
"141",1,0,42,38000,263.3275,0,0,0,1,4,6
"142",1,0,26,33600,6.5175,0,0,0,1,4,1
"143",0,2,33,23204,0,0,0,0,0,3,5
"144",1,0,43,78000,43.03917,1,0,0,0,2,5
"145",1,0,30,25000,73.7975,1,1,3,1,9,2
"146",1,0,25,15000,15.41667,0,0,1,1,7,1
"147",1,0,36,35822,313.3525,1,0,1,1,10,7
"148",1,1,44,40000,59.19417,1,0,0,1,13,3
"149",1,3,43,67200,175.9975,1,0,3,1,27,2
"150",1,2,50,43000,129.3933,1,1,1,1,15,22
"151",1,0,32,35000,30.36917,1,0,1,1,5,3
"152",0,1,43,39500,0,1,0,2,1,4,2
"153",0,5,27,40000,0,1,0,0,1,7,3
"154",1,0,25,24000,461.26,0,0,1,0,1,14
"155",1,0,50,27000,199.7333,1,0,0,0,3,10
"156",1,0,28,66000,38.71416,0,0,2,1,7,5
"157",1,0,26,27000,92.26334,0,0,0,1,0,2
"158",1,0,29,41000,145.3792,0,0,0,1,0,1
"159",1,0,72,77010,400.9117,1,0,1,1,9,2
"160",1,0,24,28000,138.7133,0,0,0,1,0,0
"161",1,0,25,31200,110.3033,0,0,2,1,6,0
"162",1,0,25,23000,54.64667,0,0,0,1,2,2
"163",1,0,30,36700,4.583333,1,0,0,1,3,5
"164",0,0,33,65000,0,1,0,0,1,6,4
"165",1,0,23,25600,320.5167,0,0,1,1,2,1
"166",1,0,49,35000,197.9233,1,0,0,1,9,4
"167",1,0,25,32400,68.87083,0,0,0,1,19,2
"168",1,0,25,34800,148.26,1,0,0,1,5,1
"169",1,0,25,29380,68.53333,0,0,0,1,0,1
"170",0,1,29,24750,0,0,0,1,0,5,1
"171",0,5,29,31200,0,0,0,0,0,7,1
"172",0,0,32,25000,0,0,0,1,1,0,5
"173",1,0,26,30000,121.5558,1,0,0,1,4,1
"174",1,0,34,60000,86.22667,1,0,1,1,5,4
"175",1,0,28,26000,105.095,1,0,0,1,6,2
"176",1,0,24,39000,58.99083,0,0,1,1,7,1
"177",0,1,31,25000,0,0,0,0,1,6,2
"178",0,1,35,33000,0,0,0,3,0,3,4
"179",1,0,32,59050,123.8917,0,0,1,1,2,1
"180",1,1,36,78000,78.54166,1,0,1,1,18,2
"181",0,3,32,20600,0,0,0,0,1,8,4
"182",1,0,31,56965,38.0625,1,1,2,0,26,7
"183",1,0,28,21600,46.14167,0,0,2,1,0,1
"184",0,3,42,46000,0,0,0,0,1,3,5
"185",1,0,22,35000,265.0142,0,0,2,1,9,4
"186",1,0,30,25500,74.72667,1,0,1,1,0,1
"187",1,0,44,17472,107.7642,1,0,0,0,2,2
"188",1,0,30,19500,6.5,1,0,2,1,2,8
"189",1,0,34,50000,209.0558,1,0,3,1,10,1
"190",1,0,24,28896,193.0675,0,0,0,0,0,1
"191",1,0,25,27000,144.3842,1,0,1,1,8,1
"192",1,0,24,40000,358.9725,0,0,0,1,10,1
"193",1,0,24,23000,59.1475,0,0,0,1,0,1
"194",1,0,32,24000,0,0,0,1,1,8,1
"195",0,0,46,26000,0,0,0,0,1,8,5
"196",1,0,22,24000,465.195,1,0,1,1,4,14
"197",1,0,36,25200,142.2425,0,0,2,0,3,4
"198",1,0,24,15600,501.8025,0,0,0,0,1,3
"199",1,0,49,24000,88.5925,0,1,0,1,6,1
"200",1,0,26,20000,282.8758,0,0,0,1,2,0
"201",1,1,29,25800,361.1617,0,0,0,1,12,0
"202",1,0,33,31500,150.1767,0,1,0,0,3,11
"203",1,0,29,23000,76.24416,0,0,2,0,5,2
"204",1,0,48,46500,58.24583,0,0,2,1,11,2
"205",1,0,22,31200,88.23333,0,0,0,1,3,5
"206",1,0,30,20000,7.083333,1,0,3,1,14,4
"207",0,6,63,25500,0,0,0,2,0,13,2
"208",1,1,22,24600,289.0442,0,0,1,1,11,0
"209",1,0,31,38000,102.9767,0,0,0,0,1,2
"210",1,0,48,26372,13.91667,1,0,0,1,12,0
"211",1,1,40,70000,641.4216,1,0,2,0,22,2
"212",0,0,53,28000,0,0,0,1,0,11,13
"213",0,0,23,31475,0,0,0,2,0,0,2
"214",0,1,25,60000,0,0,0,2,1,2,1
"215",1,0,25,32500,84.275,0,0,0,1,17,0
"216",1,0,61,43200,132.8508,1,0,1,0,0,21
"217",1,0,29,25000,159.595,0,0,0,1,21,1
"218",1,0,35,30000,135.045,0,0,1,1,8,0
"219",1,0,26,35000,250.5208,0,0,0,1,2,4
"220",1,0,43,45600,188.6208,0,0,0,1,11,12
"221",1,0,28,27600,23.25,0,0,0,1,1,2
"222",1,0,22,25350,214.065,1,0,2,1,9,2
"223",0,7,41,32388,0,0,0,0,1,16,4
"224",0,2,35,38400,0,0,0,0,0,2,3
"225",1,0,33,13200,42.63083,0,0,1,1,2,0
"226",0,0,26,39000,0,0,0,0,1,3,2
"227",0,0,57,20400,0,1,0,0,1,11,3
"228",1,1,30,72904,474.5,1,0,4,1,14,4
"229",1,0,25,75000,304.3817,1,0,0,1,8,25
"230",1,0,35,32604,78.75083,0,0,1,1,6,3
"231",1,0,25,16320,238.3275,0,0,1,1,5,0
"232",1,0,41,80000,311.1425,1,0,2,1,0,3
"233",1,0,31,22000,77.04667,1,0,2,1,16,1
"234",1,0,28,50000,120.4033,1,0,1,1,0,2
"235",1,0,31,30000,156.5725,1,0,2,1,8,6
"236",1,0,46,20000,10.58333,1,0,0,1,1,6
"237",1,0,20,15400,114.8158,0,0,0,1,2,0
"238",0,0,28,15000,0,0,0,1,0,0,0
"239",1,0,52,30000,179.7658,1,0,0,1,0,10
"240",1,1,42,50000,625.3675,1,0,3,1,7,7
"241",1,0,52,47232,84.9025,1,0,1,0,0,5
"242",1,0,54,15000,0,1,0,0,0,6,5
"243",1,0,26,23000,67.66666,0,0,0,1,0,2
"244",1,0,20,16000,111.6925,0,0,0,1,0,0
"245",1,0,28,22000,257.3017,0,0,0,0,1,0
"246",1,0,23,43200,675.7708,0,0,2,1,11,3
"247",0,0,23,26000,0,0,1,0,1,7,3
"248",1,0,20,16752,245.3308,0,0,0,1,0,1
"249",1,0,84,28725,13.33333,1,1,0,0,11,3
"250",1,0,24,26000,149.545,0,1,0,1,2,2
"251",1,0,34,29000,253.3658,1,0,2,1,20,1
"252",1,0,25,26500,20.47917,0,0,0,1,9,1
"253",1,0,27,19000,41.81667,0,0,0,1,9,2
"254",1,0,66,29500,118.7133,1,0,1,1,19,19
"255",1,0,22,31200,225.4592,0,0,1,0,6,1
"256",1,0,35,41125,101.2008,1,0,1,1,23,3
"257",0,1,46,60000,0,1,0,2,1,46,7
"258",1,0,25,20000,10.42,0,0,0,1,19,2
"259",0,2,36,33800,0,1,0,2,1,15,2
"260",1,0,34,35000,7.166667,0,0,0,1,0,1
"261",1,0,30,26000,12.08333,1,0,4,1,16,4
"262",0,11,26,35000,0,0,0,0,0,27,1
"263",1,1,25,28000,146.8625,0,0,0,1,11,1
"264",1,0,38,59000,324.6183,1,0,3,1,11,2
"265",1,0,46,54000,268.7242,1,0,4,1,7,17
"266",1,0,30,28000,249.1658,0,0,0,1,3,4
"267",1,0,44,39000,50.08333,1,0,3,1,6,15
"268",1,0,47,34000,87.63667,0,0,0,1,4,4
"269",1,0,22,20800,203.3667,0,0,0,1,0,0
"270",1,0,58,25000,105.125,1,0,0,1,13,2
"271",1,1,24,19500,50.17833,0,0,0,1,4,0
"272",1,0,26,21000,327.11,0,0,0,1,6,1
"273",0,0,31,30000,0,1,0,1,1,6,2
"274",1,1,35,32000,175.1367,1,0,2,1,8,2
"275",0,4,38,26000,0,0,0,0,1,14,3
"276",1,0,40,30670,408.0825,0,0,2,0,0,2
"277",1,0,24,28000,33.57083,0,0,0,1,11,5
"278",1,0,31,48000,404.49,1,0,0,1,13,2
"279",0,0,41,47400,0,1,0,0,1,0,1
"280",1,0,30,28000,80.45084,1,0,0,1,14,7
"281",1,0,36,42000,8.333333,1,0,4,1,13,5
"282",1,0,43,40000,240.2775,0,0,2,1,9,15
"283",0,4,26,16500,0,0,0,0,1,5,3
"284",1,0,34,43000,88.94667,0,0,1,1,2,1
"285",1,0,64,64532,0,1,0,0,1,13,4
"286",1,1,22,30000,11.00417,0,0,1,0,7,2
"287",1,0,21,17500,281.8067,0,0,0,0,3,0
"288",0,0,22,18000,0,0,0,0,0,6,0
"289",1,0,23,21500,17.17167,0,0,0,1,1,1
"290",0,0,24,78800,0,0,1,4,1,9,0
"291",0,2,27,26000,0,0,0,0,1,9,1
"292",1,0,36,24200,119.625,1,0,0,1,10,5
"293",1,0,41,28000,86.54667,1,0,0,0,6,4
"294",1,0,41,36400,94.11833,0,0,1,1,1,3
"295",1,1,54,99999,832.2433,1,0,3,1,3,10
"296",0,0,21,19500,0,0,0,0,0,1,1
"297",1,2,35,65000,762.3784,1,0,0,1,13,1
"298",1,0,32,38050,26,1,0,0,1,7,4
"299",1,0,41,21500,227.6017,0,0,1,0,16,6
"300",1,2,39,40000,379.8658,0,0,0,1,8,10
"301",1,0,22,31000,620.055,0,0,0,1,0,0
"302",0,0,31,40104,0,0,0,0,1,0,4
"303",1,0,29,45800,48.615,0,0,0,1,7,4
"304",1,0,34,18000,195.4508,1,0,3,1,2,1
"305",0,4,38,17095,0,0,0,2,1,2,4
"306",1,0,22,22593,122.1917,1,0,0,1,0,0
"307",1,0,26,35000,384.8992,0,0,2,1,0,1
"308",1,0,40,99999,129.3333,1,0,4,1,21,6
"309",1,0,24,15678,0,1,0,1,1,0,0
"310",1,0,38,29623,4.583333,1,1,1,1,13,8
"311",1,1,28,27000,210.6475,0,0,0,1,13,1
"312",1,0,22,21600,198.5483,1,0,0,1,7,2
"313",1,0,26,40000,3.166667,0,0,2,0,0,2
"314",0,5,32,45000,0,1,0,0,1,11,3
"315",0,0,34,18000,0,1,0,2,1,13,1
"316",1,0,27,27500,153.7267,0,0,0,1,3,0
"317",1,0,40,24200,34.15583,1,0,1,1,25,4
"318",0,0,23,22500,0,0,0,3,1,0,1
"319",0,0,24,12000,0,0,0,0,0,0,1
"320",0,2,28,26000,0,1,0,2,1,3,3
"321",0,0,26,15000,0,0,0,0,1,0,1
"322",1,0,25,21000,344.1808,1,0,1,1,19,2
"323",0,0,37,22200,0,1,0,2,1,0,0
"324",0,2,35,49000,0,0,0,2,1,3,34
"325",1,0,42,23000,87.105,1,0,0,1,12,4
"326",0,2,28,33000,0,0,0,1,1,17,3
"327",0,3,45,25000,0,1,0,2,1,18,5
"328",1,0,34,22050,80.86833,1,0,2,1,10,0
"329",1,1,36,24000,143.3467,1,0,0,1,18,2
"330",1,0,22,27000,105.2833,0,0,0,1,7,1
"331",1,0,34,37000,583.7783,1,1,2,1,2,0
"332",0,5,28,21200,0,0,0,0,1,10,4
"333",1,0,34,62000,950.8641,1,0,0,1,11,5
"334",1,0,40,25000,105.9617,0,0,1,1,2,2
"335",0,1,24,20000,0,0,0,0,0,3,4
"336",0,0,30,24000,0,0,1,2,1,11,6
"337",1,0,45,40300,137.0717,0,0,0,1,2,6
"338",0,0,32,30000,0,0,0,0,0,0,1
"339",1,0,25,29000,0.3125,1,0,0,1,8,5
"340",1,0,28,19900,100.1433,1,0,1,1,5,1
"341",1,0,57,19200,320.6758,1,1,1,1,9,5
"342",1,1,34,50000,683.4283,1,1,1,1,6,9
"343",0,2,33,21600,0,1,0,1,0,8,3
"344",1,0,27,22000,145.6958,0,0,0,1,3,2
"345",1,0,20,22375,93.91917,0,0,0,1,1,2
"346",0,2,40,24000,0,0,0,0,1,6,6
"347",1,0,40,19000,167.8267,1,0,3,1,17,9
"348",1,0,26,55000,703.4067,1,0,1,1,13,2
"349",0,0,32,21600,0,0,0,0,0,0,4
"350",1,2,26,70000,1292.003,0,1,0,1,31,1
"351",0,3,37,26000,0,1,0,1,1,14,4
"352",0,0,23,25000,0,0,0,0,1,0,2
"353",1,0,28,39000,248.9058,0,0,0,1,10,4
"354",1,0,49,52000,71.53,1,0,1,1,6,1
"355",1,1,24,32500,347.9483,0,0,0,0,5,1
"356",1,0,33,36000,4.583333,0,0,0,1,2,2
"357",1,0,33,1e+05,831.7317,1,0,3,1,28,1
"358",1,0,36,37000,101.7633,1,0,2,0,18,0
"359",1,0,29,44670,424.1767,1,1,0,1,5,5
"360",0,0,36,52000,0,1,0,2,1,0,1
"361",1,0,23,48000,232.2758,0,0,2,1,4,0
"362",1,0,61,15000,335.5625,1,0,1,1,24,31
"363",1,0,54,15000,20.18083,0,0,0,0,1,2
"364",0,0,26,18504,0,0,0,0,1,0,1
"365",1,0,30,24500,119,0,0,0,1,0,1
"366",1,0,27,18900,69.0325,0,0,0,1,12,4
"367",1,0,39,35000,131.6742,1,0,2,0,13,9
"368",0,0,24,27885,0,0,0,0,1,0,0
"369",1,0,47,45000,523.125,1,0,0,1,13,0
"370",0,4,25,28000,0,0,0,0,1,7,1
"371",0,3,32,28000,0,1,0,3,0,11,9
"372",1,0,33,45000,391.4175,0,0,1,1,2,3
"373",1,0,45,38000,99.10333,1,0,1,1,3,8
"374",0,0,33,50000,0,0,1,0,1,0,1
"375",1,0,23,27000,379.2983,0,0,0,1,0,0
"376",0,2,25,25000,0,0,1,1,1,18,2
"377",1,0,27,32000,398.8508,1,0,2,1,0,1
"378",1,0,23,19200,34.09167,1,0,2,1,21,1
"379",1,0,46,23080,423.1267,0,0,1,1,5,8
"380",0,0,29,17000,0,0,0,1,1,0,2
"381",1,0,49,30000,241.4233,1,0,2,0,3,10
"382",1,0,40,24500,145.7192,1,0,3,1,8,3
"383",1,0,20,34000,0.9166667,0,0,0,0,0,1
"384",1,0,33,25000,512.0125,0,0,1,1,9,0
"385",1,0,40,30000,318.51,1,0,0,1,9,6
"386",1,0,27,31500,189.6842,0,0,0,1,0,0
"387",1,0,27,35000,194.4667,0,0,0,1,0,0
"388",1,0,20,18000,182.6092,0,0,0,1,0,1
"389",1,0,24,22500,297.0317,0,0,1,1,9,1
"390",1,0,23,20000,37.97417,0,0,0,1,11,2
"391",1,0,27,41000,395.585,1,0,2,1,14,3
"392",1,0,24,29700,204.5367,0,0,0,1,7,0
"393",1,0,42,55000,148.3725,1,0,3,1,0,1
"394",1,0,27,31500,170.4667,1,0,2,1,9,2
"395",1,0,46,35000,122.9292,0,1,2,1,1,4
"396",1,0,21,15344,4.583333,0,0,0,1,11,1
"397",1,0,32,51000,430.6925,1,0,0,1,10,3
"398",1,0,23,22500,20.08333,0,0,0,1,4,1
"399",1,0,26,34100,17.785,1,0,1,1,6,1
"400",1,0,35,37000,376.6342,1,0,1,1,0,1
"401",0,0,35,34000,0,0,0,0,1,0,1
"402",1,0,36,41400,474.065,1,0,0,1,18,1
"403",0,4,38,48000,0,1,0,1,1,6,4
"404",1,0,35,70000,293.0658,1,0,3,1,0,0
"405",1,0,29,70000,631.9725,1,1,0,1,5,1
"406",1,1,29,22000,69.79333,0,0,0,1,7,4
"407",0,0,29,20600,0,1,0,0,0,12,3
"408",0,0,22,15360,0,0,0,0,0,3,1
"409",0,3,36,40000,0,1,0,0,1,12,2
"410",1,0,44,105000,8.75,1,0,4,1,16,14
"411",1,0,32,30500,127.4725,0,0,0,0,10,5
"412",1,1,57,34838,182.0958,1,0,0,1,7,45
"413",1,0,24,30000,6.145833,1,0,2,1,6,2
"414",1,0,35,51000,412.1867,1,0,4,1,0,0
"415",1,0,53,24500,35.675,1,0,0,1,11,0
"416",1,0,31,20000,205.9358,1,0,1,0,6,4
"417",1,0,54,40000,43.97417,1,0,1,1,13,16
"418",1,0,46,34800,188.105,1,1,1,1,21,1
"419",1,0,21,20000,7.083333,1,1,0,0,3,2
"420",1,0,27,21500,484.4392,0,0,0,1,12,0
"421",0,0,38,44750,0,0,0,2,1,15,5
"422",1,0,33,17000,8.778334,0,0,0,1,17,12
"423",1,0,28,30000,174.925,0,0,0,1,11,2
"424",1,0,27,23558,21.33333,1,0,2,1,5,0
"425",1,0,50,45000,360.995,1,0,2,1,11,25
"426",1,0,48,37000,114.6017,1,0,2,0,7,16
"427",1,0,25,55000,113.2958,1,1,0,1,0,1
"428",1,0,31,33740,33.5075,1,0,0,1,9,1
"429",1,0,63,55000,93.625,1,0,1,1,15,16
"430",0,1,32,60000,0,1,0,4,1,4,2
"431",1,0,28,69000,415.8058,1,0,0,1,0,1
"432",1,0,29,27500,875.8884,1,0,1,1,3,0
"433",1,0,26,20000,7.416667,0,0,0,1,13,2
"434",1,0,22,26875,165.93,0,0,3,1,12,7
"435",1,0,27,26796,15.58333,0,0,4,1,4,3
"436",1,0,22,18000,178.9158,0,0,0,0,2,0
"437",1,0,25,15600,44.9425,0,0,1,1,0,1
"438",1,0,20,15000,149.5508,0,0,0,1,3,0
"439",1,0,25,18804,3.75,0,0,0,1,5,0
"440",0,2,37,25200,0,1,0,0,1,9,6
"441",1,0,20,22348,82.92084,0,0,0,0,5,11
"442",0,0,31,17800,0,0,0,0,1,0,1
"443",1,0,29,40100,8.333333,0,0,0,1,15,10
"444",1,0,52,124999,3099.505,1,0,1,1,21,10
"445",1,0,32,16000,300.4608,0,0,0,1,8,0
"446",1,0,46,50000,112.9167,1,0,1,1,7,1
"447",1,0,25,22750,94.145,1,0,2,1,6,3
"448",1,0,55,34000,215.4392,0,0,1,1,7,1
"449",1,0,21,17500,35.16833,1,0,0,1,3,11
"450",1,0,27,32500,22.4625,1,0,0,1,6,4
"451",1,0,45,39000,294.58,0,0,0,1,12,10
"452",0,0,36,18500,0,0,0,0,0,0,5
"453",1,0,41,40000,10.29083,1,0,1,1,9,7
"454",1,0,54,43000,632.0808,1,0,1,1,6,10
"455",1,0,28,35000,326.5667,1,0,2,0,7,4
"456",1,1,34,81000,747.67,1,1,3,1,15,3
"457",1,1,30,40000,170.1808,1,0,5,1,7,2
"458",1,1,34,20000,1510.534,0,0,0,1,5,1
"459",1,0,51,53000,191.7017,0,0,1,1,2,9
"460",0,7,26,26000,0,0,0,3,1,11,3
"461",1,0,28,25200,188.1858,0,0,1,1,0,1
"462",0,0,24,22000,0,0,0,0,0,0,3
"463",1,0,29,25000,1096.657,0,0,0,1,14,1
"464",1,0,34,35000,276.9842,0,0,0,1,13,0
"465",0,1,31,43500,0,0,0,0,1,5,2
"466",0,0,39,16000,0,0,0,0,1,1,4
"467",1,0,32,20000,38.365,0,0,2,1,4,2
"468",1,1,43,48000,1482.368,1,0,0,1,4,0
"469",1,0,30,30000,45.87583,1,0,2,1,4,2
"470",1,0,62,16380,64.07417,1,0,0,0,1,22
"471",0,2,36,29000,0,0,0,1,1,21,8
"472",1,0,22,23779,35.16667,0,0,0,0,5,1
"473",1,0,38,23000,129.4167,1,0,0,1,3,0
"474",1,0,40,81000,663.7692,1,0,3,1,13,4
"475",0,2,40,35700,0,0,1,0,1,7,3
"476",0,0,34,19440,0,0,0,1,1,1,4
"477",1,0,35,27500,75.63417,1,0,0,1,11,13
"478",1,0,28,35000,3.75,1,0,1,1,7,3
"479",1,0,47,70000,301.2525,1,0,1,1,8,12
"480",1,0,28,28000,224.5817,0,0,0,0,1,0
"481",1,0,22,19500,60.58417,0,0,0,1,0,0
"482",0,0,46,65000,0,0,0,2,1,9,3
"483",1,0,23,25000,498.9267,0,0,0,1,0,0
"484",1,1,37,30000,8.333333,0,0,0,1,9,5
"485",1,0,27,18000,105.5075,1,0,2,1,4,0
"486",1,0,40,26000,56.33333,1,0,3,1,9,6
"487",1,0,52,36000,212.4783,1,0,1,1,13,10
"488",1,0,24,23000,14.33167,0,0,2,0,0,1
"489",0,1,22,17800,0,0,0,0,1,1,0
"490",1,0,22,38600,0,1,1,0,1,8,2
"491",1,0,46,49000,58.93083,1,0,2,1,4,13
"492",0,0,40,36000,0,0,0,0,0,0,1
"493",1,0,42,32350,66.26417,1,0,2,1,3,3
"494",0,2,28,18500,0,0,0,0,1,12,2
"495",1,0,26,18500,91.96417,1,0,0,1,9,2
